Year,U.S. population (as of July 11) in millions,Total production (Dextrose) in pounds,Total production (Glucose) in pounds,Total production (HFCS) in pounds,Per Capita Availability (High Fructose Corn Syrup - HFCS) in pounds,Per Capita Availability (Glucose) in pounds,Per Capita Availability (Dextrose) in pounds,Per Capita Availability Total (corn sweeteners) in pounds,Total Imports (HFCS) in pounds,Total Imports (Glucose) in pounds,Total Imports (Dextrose) in pounds,Total Exports (Glucose) in pounds,Total Exports (HFCS) in pounds,Total Exports (Dextrose) in pounds
1981,229.966,"1,045,214,000.0","3,898,238,000.0","5,348,000,000.0",22.8,12.9,3.4,39.1,"2,000,000.0",38000,858000,7830000,12412000,47969600
1982,232.188,"986,198,000.0","3,961,594,000.0","6,274,158,000.0",26.6,12.7,3.4,42.7,"9,926,000.0",78000,574000,5154000,2028000,28936600
1983,234.307,"988,050,000.0","4,056,100,000.0","7,282,068,000.0",31.2,13.0,3.4,47.6,"158,506,000.0",2900000,6438000,9404000,4518000,25411400
1984,236.348,"1,022,734,000.0","4,178,814,000.0","8,665,816,000.0",37.2,13.1,3.5,53.8,"264,250,000.0",1414000,20680000,4332000,8396000,29347200
1985,238.466,"996,014,000.0","4,285,462,000.0","10,523,098,000.0",45.2,13.5,3.5,62.2,"374,378,000.0",890000,23104000,4436000,6424000,16069600
1986,240.651,"1,054,562,000.0","4,354,122,000.0","10,672,698,000.0",45.7,13.6,3.6,62.8,"455,708,000.0",5418000,14900000,4616000,7192000,18532200
1987,242.804,"1,105,744,000.0","4,472,176,000.0","11,341,868,000.0",47.7,13.8,3.6,65.2,"404,096,000.0",352000,9600000,6710000,7962000,29925800
1988,245.021,"1,188,946,000.0","4,653,870,000.0","11,862,738,000.0",49.0,14.3,3.7,66.9,"366,722,000.0",132000,9032000,28274000,24198000,65562000
1989,247.342,"1,218,776,720.0","4,242,699,292.0","11,843,038,000.0",48.2,12.8,3.5,64.6,"369,686,000.0",11478004.34,10940000,37382671.03,101680000,62000000
1990,250.132,"1,289,224,000.0","4,748,294,504.9","12,516,108,000.0",49.6,13.6,3.6,66.8,"355,360,000.0",14582986.37,11530000,109631706.9,276458000,82000000
1991,253.493,"1,316,423,400.0","4,966,448,740.3","12,902,396,000.0",50.3,14.0,3.7,68.0,"317,548,000.0",29189154.74,11520000,141155091.3,279266000,92000000
1992,256.894,"1,283,602,900.5","5,283,813,230.3","13,268,011,891.7",51.8,15.1,3.6,70.5,"386,509,756.5",34305160.42,9734000,59810006.26,200130498.6,65533940.48
1993,260.255,"1,338,311,087.8","5,441,016,993.5","14,193,764,288.8",54.5,15.8,3.7,73.9,"378,428,984.0",37592544.67,7966000,66183067.48,226182433.7,48021207.79
1994,263.436,"1,402,816,556.0","5,643,501,797.5","14,934,491,663.3",56.2,15.9,3.8,75.9,"274,307,466.5",35321294.9,10781590.83,78556015.53,246103794.5,67630676.02
1995,266.557,"1,489,901,060.8","5,863,594,837.3","15,538,333,344.8",57.6,16.3,4.0,77.9,"126,878,103.1",34718600.15,31174843.73,86946135.34,228850754.8,101254900.8
1996,269.667,"1,556,094,040.8","5,999,807,916.8","16,341,404,382.8",57.4,16.4,4.0,77.9,"104,047,398.6",42906166.49,1560513.588,164838127.8,474262942.8,133677440.8
1997,272.912,"1,490,951,333.8","6,450,757,774.3","17,619,619,914.8",60.7,17.3,3.7,81.7,"114,949,323.6",56021591.69,1485442.637,164626450.3,818795704.8,148318973.8
1998,276.115,"1,461,961,386.3","6,178,433,237.0","18,435,646,016.2",62.0,17.1,3.6,82.7,"121,419,401.2",56953545.16,1200922.252,180375754,911117606.2,128552946.3
1999,279.295,"1,413,994,575.1","6,000,818,912.6","19,029,006,644.0",63.8,16.3,3.5,83.6,"130,307,580.9",48877257.72,981195.7664,171152135.6,905131942.8,117223295.1
2000,282.385,"1,415,266,454.6","6,076,910,053.8","18,789,096,275.6",62.5,15.8,3.4,81.6,"129,030,210.4",55377572.97,1465198.853,197306312.8,802036634.2,112921814.6
2001,285.309,"1,385,673,949.9","6,073,082,218.6","18,725,890,539.1",62.2,15.5,3.3,80.9,"163,945,812.8",53365272.92,1017563.994,228382478.6,724498886.3,124284949.9
2002,288.105,"1,392,509,679.7","6,041,991,901.0","18,651,658,094.7",62.5,15.4,3.3,81.2,"144,799,744.5",64562264.37,1060996.554,262645922,337090001.7,152551159.7
2003,290.820,"1,504,983,455.1","6,201,485,643.2","18,310,076,962.8",60.5,15.2,3.1,78.7,"151,886,647.7",60940793.81,8749663.041,277977877.2,328867253.7,191081775.1
2004,293.463,"1,487,605,464.9","6,312,377,813.4","18,129,181,874.7",59.5,15.6,3.3,78.5,"183,986,444.6",90005509.29,3288512.49,252646718.4,322983432.1,162842264.9
2005,296.186,"1,451,315,177.8","6,251,522,102.9","18,427,677,624.4",58.8,15.3,3.2,77.3,"186,641,952.5",94324335.75,1020977.509,364742753.9,625207576.2,183937897.8
2006,298.996,"1,437,181,267.9","6,902,980,848.5","18,781,054,094.1",57.8,13.7,3.1,74.6,"198,522,489.5",117451282.2,0.000,522166188.5,1022625487,204744667.9
2007,302.004,"1,464,701,800.0","7,094,580,591.8","18,500,633,793.1",55.8,13.7,3.0,72.5,"175,246,326.0",145336652.8,0.000,634073802.8,1272092340,232152960
2008,304.798,"1,384,506,481.8","6,993,556,909.0","17,719,198,857.7",52.6,13.4,2.8,68.7,"222,713,777.6",165353247.9,"96,884.586",539987237,1351618222,230239521.8
2009,307.439,"1,239,303,469.9","6,725,258,500.4","17,115,826,689.9",49.6,13.0,2.7,65.3,"169,383,392.5",134992427.8,"787,219.714",522374989.4,1356167188,148727189.9
2010,309.746,"1,382,777,114.4","7,248,978,454.2","18,325,727,042.3",48.3,12.6,2.9,63.9,"198,585,985.8",161574339.8,0.000,754279122.2,2877775781,224999434.4
2011,311.997,"1,367,667,007.8","8,153,784,345.0","18,313,660,822.3",46.7,12.2,2.9,61.8,"181,261,097.6",184454500.3,"68,554.242",1041893592,3349334475,217485767.8
2012,314.211,"1,389,037,330.5","7,929,683,413.7","18,207,129,705.5",45.7,12.5,2.7,61.0,"193,238,812.2",166570363.8,"16,278.590",801071791.7,3434714923,223683450.5
2013,316.359,"1,373,708,286.3","8,428,777,966.8","17,165,569,662.5",43.7,12.0,2.6,58.4,"174,343,829.6",185232213.4,"7,664.689",805121662.8,2851390131,220313486.3